Ticker,Sector
BEDMUTHA-EQ.NS,NO
BEML-EQ.NS,NO
BEPL-EQ.NS,NO
SHARIABEES-EQ.NS,NO
TALWALKARS.NS,Consumer Cyclical
HNGSNGBEES-EQ.NS,NO
TATAGLOBAL.NS,NO
BEDMUTHA.NS,Basic Materials
FAGBEARING-EQ.NS,NO
BERGEPAINT.NS,Basic Materials
BEARDSELL-EQ.NS,NO
NIBL-EQ.NS,NO
MANPASAND-EQ.NS,NO
BEARDSELL-IL.NS,NO
BERGEPAINT-EQ.NS,NO
NRBBEARING.NS,Consumer Cyclical
JUNIORBEES-EQ.NS,NO
ORIENTBELL-EQ.NS,NO
NIBL.NS,Industrials
BEARDSELL-BE.NS,NO
NIBL-BE.NS,NO
BEARDSELL-BL.NS,NO
MENONBE.NS,Consumer Cyclical
BANKBEES-EQ.NS,NO
BEL.NS,Industrials
NIFTYBEES.NS,NO
LIQUIDBEES.NS,NO
SHARIABEES.NS,NO
GOLDBEES.NS,NO
BANARBEADS.NS,Consumer Cyclical
BEARDSELL-RL.NS,NO
HNGSNGBEES.NS,NO
BFUTILITIE.NS,Utilities
BFINVEST.NS,Financial Services
SQSBFSI-EQ.NS,NO
SQSBFSI.NS,NO
BGRENERGY.NS,Industrials
BGLOBAL-EQ.NS,NO
BGRENERGY-EQ.NS,NO
BGLOBAL-BE.NS,NO
BGLOBAL.NS,Technology
INFRATEL.NS,NO
BHEL.NS,Industrials
INFRATEL-EQ.NS,NO
BHAGYNAGAR-EQ.NS,NO
BHARTISHIP.NS,NO
BHARATFORG.NS,Consumer Cyclical
BIL-EQ.NS,NO
DALMIABHA.NS,NO
BHARTISHIP-BZ.NS,NO
BHARATGEAR.NS,Consumer Cyclical
JAYBARMARU.NS,Consumer Cyclical
BHAGERIA.NS,Basic Materials
BHARATIDIL.NS,NO
BHARATRAS.NS,Basic Materials
BEPL.NS,Basic Materials
BHARATWIRE.NS,Basic Materials
BIL.NS,Consumer Cyclical
NBVENTURES.NS,Utilities
BHAGYNAGAR.NS,NO
BHUSANSTL-EQ.NS,NO
BHUSANSTL.NS,NO
BIOCON.NS,Healthcare
CELESTIAL.NS,Healthcare
BILENERGY-EQ.NS,NO
BIRLACOT-BE.NS,NO
NATHBIOGEN-EQ.NS,NO
BINDALAGRO-EQ.NS,NO
BSLNIFTY.NS,NO
STERLINBIO.NS,NO
NATHBIOGEN.NS,Basic Materials
BIRLAPOWER-BZ.NS,NO
BINDALAGRO.NS,Financial Services
BILENERGY.NS,Industrials
BINDALAGRO-BE.NS,NO
BIOCON-EQ.NS,NO
BIRLACOT.NS,NO
BSLGOLDETF.NS,NO
BSLELFS5RG-MF.NS,NO
KOPDRUGS-BZ.NS,NO
BSLCAP21RG-MF.NS,NO
CELESTIAL-EQ.NS,NO
BSLFTPLVDG-MF.NS,NO
BILPOWER-BE.NS,NO
BILPOWER-EQ.NS,NO
PANACEABIO.NS,Healthcare
BSLFEFS2RG-MF.NS,NO
NATHBIOGEN-BE.NS,NO
SHARONBIO.NS,Healthcare
BIRLAMONEY-EQ.NS,NO
HESTERBIO-EQ.NS,NO
BILPOWER.NS,NO
BIRLAERIC-BE.NS,NO
STERLINBIO-EQ.NS,NO
BINANIIND.NS,Basic Materials
GUFICBIO.NS,Healthcare
